last_work_place;count
None;6
"Онлайн-лагерь ""Творческий подход""";1
Kuchenland;1
Альбион-2002  ООО;1
1С-Рарус;1
Учебные проекты;1
Beast Hunter;1
Java Mentor;1
SCHENKER;1
Destiny.Games;1
Тинькофф;1
"ООО ""Хлебозавод ""Крымский""";1
Компания АКАНА;1
Рокетбанк;1
Limitless Creators;1
Skillbox;1
ЦМД-софт  ОАО;1
Московский городской психолого-педагогический университет;1
Такском  ООО;1
Makves;1
Министерство экономического развития Российской Федерации;1
Krossvik;1
ИП Камшина;1
Щербинская типография;1
Администрация города;1
МТС Банк;1
Directiv;1
Фриланс тестирование;1
"ООО ""Аудит груп""";1
INLINE Technologies;1
УРТК им. А.С. Попова;1
Ремонт телефонов;1
AIC;1
Крок инкорпорейтед;1
Администрация городского округа Солнечногорск - Центр управления регионом;1
Онлайн-школа Тетрика;1
Санточа Quiksilver Russia  ООО;1
Лантер;1
Удаленная работа в США;1
Тензор;1
